Major,Degree,Early-Career Pay,Mid-Career Pay,% High Meaning
Petroleum Engineering,Bachelors,"$92,300","$182,000% ",69%
Electrical Engineering & Computer Science (EECS),Bachelors,"$101,200","$152,300% ",46%
Applied Economics and Management,Bachelors,"$60,900","$139,600% ",67%
Operations Research,Bachelors,"$78,400","$139,600% ",52%
Public Accounting,Bachelors,"$60,000","$138,800% ",49%
Chemical Engineering/Materials Science & Engineering,Bachelors,"$74,500","$137,800% ",60%
Quantitative Business Analysis,Bachelors,"$67,900","$136,200% ",55%
Pharmacy,Bachelors,"$66,300","$133,200% ",79%
Aeronautics & Astronautics,Bachelors,"$74,000","$133,100% ",60%
Systems Engineering,Bachelors,"$74,000","$132,900% ",54%
Electrical Power Engineering,Bachelors,"$73,100","$130,700% ",67%
Actuarial Mathematics,Bachelors,"$61,900","$130,500% ",50%
Aerospace Studies,Bachelors,"$50,300","$130,300% ",-
Chemical Engineering,Bachelors,"$73,500","$128,900% ",56%
Actuarial Science,Bachelors,"$64,700","$128,700% ",42%
Information & Computer Science,Bachelors,"$70,300","$127,600% ",60%
Aeronautical Engineering,Bachelors,"$71,600","$125,900% ",64%
Operations & Information Systems Management,Bachelors,"$63,800","$125,100% ",31%
Political Economy,Bachelors,"$58,200","$125,100% ",34%
Marine Engineering,Bachelors,"$74,700","$125,000% ",64%
Computer Systems Engineering,Bachelors,"$74,600","$124,800% ",49%
Nuclear Engineering,Bachelors,"$73,100","$124,500% ",63%
Computer Science (CS) & Engineering,Bachelors,"$74,000","$124,000% ",44%
Corporate Accounting & Finance,Bachelors,"$61,200","$123,600% ",57%
Electrical & Computer Engineering (ECE),Bachelors,"$73,900","$123,300% ",49%
Computer Engineering (CE),Bachelors,"$74,600","$123,200% ",46%
Econometrics,Bachelors,"$60,700","$123,000% ",30%
Building Science,Bachelors,"$51,100","$122,500% ",51%
Mechatronics,Bachelors,"$70,200","$122,300% ",47%
Quantitative Economics,Bachelors,"$62,000","$121,900% ",45%
Foreign Affairs,Bachelors,"$52,200","$121,800% ",40%
Welding Engineering,Bachelors,"$76,900","$121,800% ",44%
Economics and Mathematics,Bachelors,"$65,000","$121,400% ",33%
Electrical Engineering (EE),Bachelors,"$71,800","$121,400% ",55%
Cognitive Science,Bachelors,"$64,100","$121,100% ",41%
Control Engineering,Bachelors,"$69,900","$121,100% ",63%
Geophysics,Bachelors,"$56,900","$120,600% ",46%
Pharmacology,Bachelors,"$55,000","$120,600% ",71%
Instrumentation & Control Engineering,Bachelors,"$69,000","$120,500% ",-
Computational & Applied Mathematics,Bachelors,"$69,700","$120,100% ",43%
Marine Transportation Management,Bachelors,"$67,800","$120,100% ",47%
Aerospace Engineering,Bachelors,"$70,700","$119,800% ",57%
Ocean Engineering (OE),Bachelors,"$65,100","$119,700% ",51%
Astronomy,Bachelors,"$54,300","$119,600% ",39%
Mechanical & Aeronautical Engineering,Bachelors,"$66,900","$119,600% ",60%
Chemical & Biomolecular Engineering,Bachelors,"$74,000","$118,700% ",48%
Computer Science (CS) & Mathematics,Bachelors,"$66,800","$118,500% ",43%
Bioscience,Bachelors,"$48,400","$118,300% ",-
Electrical & Electronics Engineering (EEE),Bachelors,"$71,300","$118,100% ",55%
Metallurgical Engineering,Bachelors,"$79,100","$117,700% ",55%
Aeronautical/Aerospace Engineering Technology,Bachelors,"$73,400","$117,500% ",58%
Materials Engineering,Bachelors,"$69,100","$117,500% ",48%
Accounting & Economics,Bachelors,"$61,600","$117,400% ",43%
Industrial & Systems Engineering,Bachelors,"$69,900","$117,300% ",49%
Optical Science & Engineering,Bachelors,"$67,600","$117,100% ",65%
Computer Science (CS),Bachelors,"$70,700","$116,500% ",42%
Biomedical Engineering (BME),Bachelors,"$67,700","$116,300% ",72%
Materials Science,Bachelors,"$62,700","$116,200% ",-
Electronics & Communications Engineering,Bachelors,"$61,500","$116,100% ",55%
Mining Engineering,Bachelors,"$75,200","$116,100% ",70%
Engineering,Bachelors,"$66,500","$116,000% ",59%
Applied Mathematics,Bachelors,"$64,400","$115,500% ",39%
Integrated Science & Technology,Bachelors,"$62,500","$115,500% ",56%
Petroleum Land Management,Bachelors,"$60,600","$115,400% ",70%
Bioengineering (BioE),Bachelors,"$67,400","$115,000% ",67%
Software Engineering,Bachelors,"$71,100","$114,700% ",42%
Operations Management & Information Systems,Bachelors,"$61,900","$114,500% ",39%
Statistics,Bachelors,"$63,700","$114,400% ",42%
Business Analysis,Bachelors,"$59,200","$114,300% ",49%
Computer & Information Science,Bachelors,"$60,100","$114,300% ",55%
Physics,Bachelors,"$62,300","$113,800% ",49%
Physics & Mathematics,Bachelors,"$61,500","$113,600% ",47%
Physics & Astronomy,Bachelors,"$54,000","$112,900% ",43%
Construction Engineering Management,Bachelors,"$64,800","$112,700% ",55%
Physician Assistant Studies,Bachelors,"$92,900","$112,200% ",86%
Mechanical Engineering (ME),Bachelors,"$67,600","$111,500% ",51%
Industrial Engineering (IE),Bachelors,"$68,300","$111,400% ",45%
Entrepreneurship & Marketing,Bachelors,"$48,500","$111,100% ",49%
Engineering Science,Bachelors,"$64,700","$111,100% ",45%
International Business & Finance,Bachelors,"$57,700","$111,100% ",42%
